NUMBER_OF_SETS	96
LGOROWLENGTH	8
INFO	"sRGB"
INSTRUMENTATION	"3DLUTCreator"
BEGIN_DATA_FORMAT
SampleID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
BEGIN_DATA
1	A1	0.18	0.14	0.09	15.128	3.53	10.36
2	A2	0.36	0.77	0.52	71.582	-42.29	21.68
3	A3	0.07	0.71	0.47	65.386	-51.05	20.70
4	A4	0.06	0.20	0.12	17.909	-17.55	9.35
5	A5	0.30	0.76	0.63	71.414	-41.30	7.24
6	A6	0.51	0.77	0.29	72.714	-36.41	51.87
7	A7	0.15	0.72	0.17	65.640	-57.59	55.03
8	A8	0.29	0.83	0.31	75.297	-57.70	52.16
9	A9	0.91	0.66	0.17	73.944	16.36	68.14
10	A10	0.69	0.74	0.11	73.549	-17.66	69.37
11	A11	0.70	0.88	0.03	84.039	-32.70	80.15
12	A12	0.30	0.12	0.08	18.678	20.69	17.63
13	B1	0.30	0.76	0.77	71.620	-32.62	-12.71
14	B2	0.07	0.68	0.66	63.604	-38.18	-8.68
15	B3	0.95	0.70	0.61	78.419	21.15	21.97
16	B4	0.99	0.78	0.63	84.468	16.10	27.23
17	B5	0.91	0.72	0.60	78.498	15.15	22.95
18	B6	0.91	0.72	0.61	78.625	15.79	21.20
19	B7	0.93	0.72	0.60	78.928	17.04	23.15
20	B8	0.58	0.31	0.15	41.619	26.76	36.11
21	B9	0.98	0.71	0.51	79.576	21.33	35.85
22	B10	0.17	0.17	0.16	17.349	0.60	1.01
23	B11	0.81	0.69	0.08	73.185	1.69	71.82
24	B12	0.78	0.85	0.01	83.161	-21.02	80.61
25	C1	0.06	0.24	0.23	22.396	-16.11	-3.72
26	C2	0.57	0.72	0.91	73.094	-4.37	-28.33
27	C3	0.99	0.64	0.38	75.318	28.83	47.99
28	C4	0.98	0.83	0.68	87.387	10.39	24.57
29	C5	0.91	0.70	0.51	77.156	14.83	32.72
30	C6	0.70	0.44	0.27	53.897	23.64	35.09
31	C7	0.93	0.75	0.65	80.805	14.71	19.66
32	C8	0.76	0.40	0.13	53.539	34.65	53.04
33	C9	0.97	0.68	0.49	77.216	24.51	35.86
34	C10	0.53	0.52	0.50	55.287	0.29	2.51
35	C11	0.82	0.84	0.01	82.937	-15.51	80.96
36	C12	0.97	0.89	0.02	89.371	-5.87	86.97
37	D1	0.37	0.75	0.86	72.434	-23.45	-23.35
38	D2	0.03	0.25	0.37	24.577	-7.20	-24.22
39	D3	0.90	0.92	0.71	91.720	-8.46	25.64
40	D4	0.08	0.08	0.08	6.556	-0.34	-0.16
41	D5	0.30	0.30	0.29	32.491	0.37	0.78
42	D6	0.45	0.45	0.44	48.419	0.03	0.95
43	D7	0.70	0.70	0.69	72.397	0.03	1.36
44	D8	0.85	0.84	0.83	86.028	0.36	1.20
45	D9	0.94	0.94	0.93	94.553	0.28	0.50
46	D10	0.81	0.80	0.79	82.207	0.22	1.18
47	D11	1.00	0.56	0.02	70.773	38.52	75.72
48	D12	0.99	0.86	0.01	88.471	-0.20	86.89
49	E1	0.27	0.64	0.89	63.675	-13.06	-41.61
50	E2	0.48	0.73	0.89	72.457	-13.09	-27.78
51	E3	0.99	0.90	0.86	92.884	6.72	7.61
52	E4	0.97	0.97	0.97	97.237	-0.09	0.48
53	E5	0.88	0.88	0.87	89.089	0.10	1.31
54	E6	0.76	0.75	0.74	77.813	0.34	1.42
55	E7	0.59	0.59	0.58	61.915	0.16	1.49
56	E8	0.36	0.36	0.35	39.124	-0.15	1.24
57	E9	0.12	0.12	0.12	11.500	-0.32	0.82
58	E10	0.83	0.91	0.94	90.862	-6.68	-5.22
59	E11	1.00	0.65	0.59	76.734	33.08	21.65
60	E12	1.00	0.29	0.22	59.286	67.91	51.54
61	F1	0.62	0.23	0.69	43.551	53.79	-43.01
62	F2	0.05	0.23	0.52	25.309	9.62	-46.54
63	F3	0.81	0.92	0.91	90.878	-10.24	-2.04
64	F4	0.14	0.21	0.66	27.739	27.74	-65.33
65	F5	0.25	0.72	0.25	65.860	-51.76	48.73
66	F6	0.82	0.13	0.16	46.027	65.65	43.76
67	F7	0.97	0.91	0.02	91.241	-8.07	88.34
68	F8	0.97	0.44	0.75	66.073	58.49	-15.25
69	F9	0.15	0.62	0.78	60.420	-22.46	-30.67
70	F10	0.93	0.91	0.94	92.644	3.21	-2.97
71	F11	0.99	0.64	0.70	76.509	35.32	6.24
72	F12	0.89	0.19	0.26	51.166	67.67	35.59
73	G1	0.90	0.67	0.86	76.658	27.31	-16.28
74	G2	0.54	0.46	0.81	54.463	23.32	-43.71
75	G3	0.98	0.90	0.91	93.079	7.26	1.42
76	G4	0.98	0.60	0.02	72.490	31.10	76.41
77	G5	0.33	0.42	0.82	47.244	15.35	-56.35
78	G6	0.96	0.38	0.41	61.364	57.37	27.62
79	G7	0.30	0.12	0.40	21.553	30.66	-32.57
80	G8	0.74	0.86	0.13	83.276	-26.10	76.41
81	G9	0.97	0.75	0.01	81.236	11.31	82.01
82	G10	0.88	0.95	0.91	93.993	-7.24	2.37
83	G11	0.91	0.20	0.17	52.715	68.13	50.47
84	G12	0.34	0.07	0.16	18.921	33.27	4.01
85	H1	0.69	0.19	0.44	42.244	55.66	-5.50
86	H2	0.26	0.16	0.33	21.536	19.80	-22.36
87	H3	0.89	0.91	0.94	91.927	-0.35	-4.46
88	H4	0.54	0.26	0.17	37.405	30.15	29.02
