NUMBER_OF_SETS	96
LGOROWLENGTH	8
INFO	"sRGB"
INSTRUMENTATION	"3DLUTCreator"
BEGIN_DATA_FORMAT
SampleID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
BEGIN_DATA
1	A1	0.23	0.20	0.07	21.327	0.65	22.08
2	A2	0.32	0.88	0.58	80.441	-53.50	26.50
3	A3	0.00	0.82	0.53	74.290	-58.03	24.08
4	A4	0.00	0.26	0.15	23.613	-25.64	11.10
5	A5	0.00	0.88	0.69	79.663	-55.93	10.22
6	A6	0.51	0.88	0.33	81.079	-47.03	57.44
7	A7	0.00	0.82	0.00	73.535	-68.37	69.85
8	A8	0.00	0.92	0.23	81.325	-72.60	65.54
9	A9	0.95	0.76	0.02	81.023	7.11	81.13
10	A10	0.72	0.86	0.00	82.893	-29.11	80.10
11	A11	0.66	0.95	0.00	88.481	-44.14	83.67
12	A12	0.38	0.19	0.02	26.253	19.65	34.22
13	B1	0.00	0.83	0.85	76.726	-42.36	-16.31
14	B2	0.00	0.76	0.76	70.892	-41.10	-12.53
15	B3	0.96	0.79	0.71	84.720	13.48	16.49
16	B4	1.00	0.86	0.74	90.045	9.32	20.28
17	B5	0.94	0.81	0.71	85.452	9.10	17.50
18	B6	0.94	0.81	0.72	85.491	9.60	15.73
19	B7	0.95	0.81	0.71	85.534	10.45	17.15
20	B8	0.69	0.43	0.03	52.388	22.22	57.53
21	B9	0.98	0.80	0.62	85.528	12.10	29.10
22	B10	0.21	0.20	0.19	21.141	1.49	1.01
23	B11	0.88	0.82	0.00	83.065	-7.68	81.94
24	B12	0.79	0.93	0.00	89.054	-29.99	85.15
25	C1	0.00	0.27	0.28	25.538	-18.91	-7.45
26	C2	0.67	0.76	0.94	77.626	0.21	-26.14
27	C3	0.99	0.73	0.44	80.639	18.72	46.22
28	C4	1.00	0.90	0.79	92.853	5.60	17.07
29	C5	0.93	0.80	0.61	84.336	7.19	28.57
30	C6	0.79	0.55	0.26	63.520	18.52	48.18
31	C7	0.95	0.84	0.76	87.615	8.15	14.22
32	C8	0.86	0.52	0.00	63.447	28.98	69.19
33	C9	0.98	0.76	0.59	82.849	16.02	30.16
34	C10	0.61	0.60	0.59	63.587	0.33	2.56
35	C11	0.84	0.91	0.00	88.406	-22.19	85.21
36	C12	0.99	0.94	0.00	93.519	-10.11	90.45
37	D1	0.42	0.79	0.90	76.278	-23.35	-23.50
38	D2	0.00	0.23	0.43	24.030	-0.13	-35.31
39	D3	0.93	0.98	0.84	96.649	-9.71	16.31
40	D4	0.08	0.08	0.09	6.371	0.14	-1.98
41	D5	0.36	0.36	0.35	38.612	0.62	0.79
42	D6	0.53	0.53	0.52	56.005	0.04	0.72
43	D7	0.79	0.79	0.79	81.473	-0.27	0.92
44	D8	0.92	0.92	0.91	92.715	0.04	0.76
45	D9	0.98	0.98	0.98	98.425	-0.18	0.21
46	D10	0.89	0.89	0.88	89.765	-0.15	0.76
47	D11	1.00	0.69	0.00	78.082	22.08	80.61
48	D12	1.00	0.93	0.00	92.745	-7.04	90.06
49	E1	0.37	0.61	0.90	62.283	-3.16	-44.78
50	E2	0.54	0.77	0.93	76.300	-11.29	-26.54
51	E3	1.00	0.96	0.94	96.963	3.22	3.67
52	E4	1.00	1.00	1.00	99.979	-0.13	0.48
53	E5	0.94	0.94	0.94	94.950	-0.13	0.83
54	E6	0.85	0.85	0.84	86.252	-0.17	0.96
55	E7	0.68	0.68	0.67	70.652	-0.04	1.24
56	E8	0.43	0.43	0.42	46.081	-0.23	1.64
57	E9	0.14	0.14	0.14	13.967	0.02	0.75
58	E10	0.90	0.97	0.98	96.323	-5.52	-3.55
59	E11	1.00	0.72	0.68	81.420	25.25	16.78
60	E12	1.00	0.36	0.10	61.476	61.68	66.49
61	F1	0.68	0.00	0.72	41.401	70.96	-50.36
62	F2	0.02	0.12	0.60	19.671	35.04	-69.51
63	F3	0.88	0.98	0.96	96.398	-9.06	-0.78
64	F4	0.27	0.00	0.70	23.790	55.18	-76.89
65	F5	0.00	0.83	0.17	74.164	-67.73	63.36
66	F6	0.96	0.00	0.00	51.935	78.11	67.55
67	F7	0.99	0.96	0.00	94.729	-11.76	91.31
68	F8	0.99	0.24	0.63	59.368	76.12	-8.41
69	F9	0.00	0.64	0.83	61.563	-22.67	-36.21
70	F10	0.98	0.96	0.98	96.709	2.51	-2.27
71	F11	0.99	0.70	0.74	79.911	29.12	6.12
72	F12	0.98	0.00	0.16	53.589	80.18	53.75
73	G1	0.94	0.70	0.90	79.525	28.82	-16.61
74	G2	0.58	0.37	0.83	50.369	39.31	-53.22
75	G3	1.00	0.95	0.96	96.833	4.42	0.54
76	G4	1.00	0.72	0.00	79.613	18.82	81.54
77	G5	0.38	0.29	0.82	40.175	38.10	-68.87
78	G6	0.99	0.38	0.41	62.779	60.21	29.60
79	G7	0.43	0.00	0.48	25.830	51.91	-38.81
80	G8	0.71	0.94	0.00	88.381	-37.87	84.02
81	G9	1.00	0.85	0.00	87.945	1.41	86.80
82	G10	0.94	1.00	0.96	98.424	-5.94	2.55
83	G11	1.00	0.12	0.00	55.250	78.13	70.05
84	G12	0.45	0.00	0.22	23.923	46.75	2.31
85	H1	0.81	0.00	0.44	45.498	72.19	0.00
86	H2	0.37	0.08	0.41	23.509	41.16	-31.33
87	H3	0.95	0.96	0.98	96.682	-0.21	-2.89
88	H4	0.66	0.35	0.12	47.075	29.74	46.64
