NUMBER_OF_SETS	264
LGOROWLENGTH	12
INFO	"sRGB"
INSTRUMENTATION	"3DLUTCreator"
BEGIN_DATA_FORMAT
SampleID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
BEGIN_DATA
1	A1	0.32	0.14	0.19	21.226	22.88	1.69
2	A2	0.43	0.05	0.22	23.672	42.56	1.16
3	A3	0.53	0.00	0.26	28.516	52.14	2.57
4	A4	0.56	0.00	0.28	30.426	54.41	1.88
5	A5	0.70	0.47	0.53	56.896	26.32	0.93
6	A6	0.82	0.35	0.53	54.971	50.93	-0.03
7	A7	0.90	0.17	0.52	52.834	72.69	-1.03
8	A8	0.96	0.00	0.52	53.909	82.02	0.84
9	A9	0.93	0.88	0.89	90.334	4.74	0.78
10	A10	0.96	0.87	0.89	90.103	8.89	0.65
11	A11	0.98	0.85	0.88	89.553	12.99	0.38
12	A12	1.00	0.83	0.87	88.886	16.80	0.47
13	A13	0.00	0.70	0.89	66.863	-25.75	-36.21
14	A14	0.87	0.00	0.71	50.774	80.43	-34.32
15	A15	0.99	0.89	0.00	89.916	-3.65	88.00
16	A16	0.02	0.03	0.02	2.037	-1.08	1.01
17	A17	0.92	0.00	0.00	50.109	76.01	65.73
18	A18	0.00	0.63	0.04	57.287	-55.76	55.87
19	A19	0.30	0.00	0.61	22.497	51.95	-66.31
20	A20	0.01	0.04	0.04	2.310	-1.40	-1.30
21	A21	0.05	0.04	0.06	2.899	1.84	-2.33
22	A22	0.17	0.05	0.08	8.295	16.72	2.98
23	B1	0.39	0.20	0.35	28.976	27.29	-13.83
24	B2	0.50	0.04	0.47	29.741	53.56	-30.94
25	B3	0.58	0.00	0.55	34.280	61.42	-36.29
26	B4	0.59	0.00	0.56	35.191	62.55	-37.13
27	B5	0.72	0.56	0.67	64.046	18.77	-8.78
28	B6	0.80	0.48	0.74	61.866	39.71	-21.94
29	B7	0.85	0.36	0.80	58.835	59.73	-35.01
30	B8	0.91	0.16	0.86	55.804	81.05	-47.80
31	B9	0.92	0.88	0.90	90.409	4.30	-1.55
32	B10	0.95	0.87	0.92	90.011	8.96	-4.05
33	B11	0.96	0.84	0.94	89.153	14.07	-7.58
34	B12	1.00	0.80	0.96	87.191	23.80	-13.73
35	B13	0.09	0.76	0.90	71.676	-30.86	-30.68
36	B14	0.94	0.00	0.78	54.804	85.39	-37.83
37	B15	0.99	0.92	0.00	92.483	-7.48	89.81
38	B16	0.09	0.11	0.09	9.383	-3.21	2.05
39	B17	0.96	0.17	0.00	53.784	72.84	67.88
40	B18	0.00	0.76	0.00	68.693	-64.67	66.07
41	B19	0.34	0.00	0.72	26.648	57.85	-75.20
42	B20	0.05	0.26	0.14	24.016	-24.14	13.34
43	B21	0.00	0.15	0.11	11.966	-15.85	1.73
44	B22	0.00	0.16	0.21	13.965	-9.47	-12.80
45	C1	0.15	0.08	0.23	10.948	16.52	-21.59
46	C2	0.20	0.01	0.36	12.331	35.41	-41.04
47	C3	0.24	0.00	0.48	16.780	43.83	-54.02
48	C4	0.28	0.00	0.63	22.405	52.43	-69.64
49	C5	0.58	0.50	0.62	56.245	11.90	-13.69
50	C6	0.59	0.45	0.71	54.251	24.08	-29.87
51	C7	0.59	0.39	0.79	51.183	35.42	-45.17
52	C8	0.57	0.31	0.86	47.366	48.90	-62.31
53	C9	0.90	0.89	0.91	90.323	2.11	-2.42
54	C10	0.91	0.88	0.93	90.137	4.37	-4.96
55	C11	0.91	0.87	0.95	89.670	6.80	-8.57
56	C12	0.91	0.85	0.98	88.504	10.48	-13.95
57	C13	0.31	0.80	0.91	76.154	-29.12	-25.15
58	C14	0.97	0.00	0.82	56.790	87.91	-40.48
59	C15	1.00	0.95	0.00	94.180	-9.65	91.02
60	C16	0.21	0.22	0.19	22.866	-1.90	3.61
61	C17	0.98	0.31	0.11	58.697	64.31	63.70
62	C18	0.00	0.82	0.04	73.613	-68.26	68.81
63	C19	0.36	0.00	0.80	29.347	61.98	-82.87
64	C20	0.74	0.93	0.77	89.794	-21.99	14.14
65	C21	0.00	0.57	0.00	52.080	-51.98	53.11
66	C22	0.00	0.19	0.05	16.385	-23.28	17.29
67	D1	0.23	0.25	0.39	27.521	5.74	-21.91
68	D2	0.17	0.21	0.53	25.898	16.99	-46.89
69	D3	0.10	0.18	0.63	24.688	28.99	-65.50
70	D4	0.00	0.14	0.74	24.967	41.42	-81.80
71	D5	0.60	0.61	0.70	64.491	3.09	-11.68
72	D6	0.56	0.58	0.77	62.138	6.89	-26.08
73	D7	0.53	0.55	0.82	59.932	10.64	-37.01
74	D8	0.43	0.49	0.89	55.097	15.68	-54.69
75	D9	0.89	0.89	0.91	90.171	0.83	-2.18
76	D10	0.89	0.89	0.93	90.120	1.47	-5.24
77	D11	0.88	0.88	0.95	89.590	2.32	-8.33
78	D12	0.86	0.87	0.98	88.977	3.32	-13.91
79	D13	0.44	0.84	0.93	79.855	-26.34	-21.03
80	D14	0.98	0.31	0.86	62.719	75.55	-36.03
81	D15	1.00	0.96	0.00	94.783	-10.81	91.43
82	D16	0.34	0.34	0.32	36.875	-0.60	2.67
83	D17	0.99	0.44	0.28	64.542	53.17	49.29
84	D18	0.00	0.86	0.28	77.162	-68.32	56.62
85	D19	0.40	0.20	0.84	36.829	51.08	-76.01
86	D20	0.91	0.94	0.61	92.757	-11.73	40.00
87	D21	0.42	0.70	0.00	66.478	-40.64	65.67
88	D22	0.69	0.91	0.65	87.162	-28.31	26.27
