NUMBER_OF_SETS	96
LGOROWLENGTH	8
INFO	"sRGB"
INSTRUMENTATION	"3DLUTCreator"
BEGIN_DATA_FORMAT
SampleID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
BEGIN_DATA
1	A1	0.21	0.16	0.10	18.017	3.73	12.69
2	A2	0.40	0.81	0.57	75.838	-42.36	21.14
3	A3	0.09	0.76	0.51	69.161	-52.55	19.68
4	A4	0.07	0.23	0.14	21.129	-19.83	10.18
5	A5	0.35	0.81	0.68	75.428	-40.39	6.24
6	A6	0.55	0.82	0.33	77.396	-37.78	53.31
7	A7	0.17	0.78	0.21	70.324	-60.83	56.98
8	A8	0.33	0.87	0.36	79.222	-58.00	51.11
9	A9	0.95	0.72	0.18	78.950	13.46	72.19
10	A10	0.74	0.80	0.11	78.840	-19.99	74.03
11	A11	0.75	0.94	0.02	88.934	-34.30	84.44
12	A12	0.33	0.15	0.09	21.844	21.58	20.35
13	B1	0.38	0.80	0.82	75.642	-30.80	-12.67
14	B2	0.12	0.72	0.71	67.331	-38.64	-9.95
15	B3	0.98	0.76	0.66	82.951	18.92	21.42
16	B4	1.00	0.84	0.68	88.182	11.06	25.98
17	B5	0.96	0.77	0.65	83.126	13.99	22.46
18	B6	0.96	0.77	0.67	83.177	14.50	20.33
19	B7	0.97	0.77	0.65	83.552	15.66	22.44
20	B8	0.63	0.36	0.17	46.395	26.79	39.30
21	B9	1.00	0.77	0.56	83.852	16.75	35.22
22	B10	0.19	0.19	0.19	20.138	0.63	0.34
23	B11	0.86	0.76	0.09	78.450	-1.06	76.01
24	B12	0.83	0.91	0.02	88.055	-22.82	84.56
25	C1	0.05	0.27	0.26	25.922	-18.50	-4.20
26	C2	0.63	0.77	0.94	77.684	-4.89	-26.03
27	C3	1.00	0.70	0.41	79.238	23.28	48.51
28	C4	1.00	0.88	0.73	90.916	7.24	22.80
29	C5	0.95	0.76	0.55	82.090	12.98	33.88
30	C6	0.76	0.49	0.30	59.158	23.31	37.44
31	C7	0.97	0.80	0.70	85.302	12.62	19.10
32	C8	0.82	0.45	0.14	58.419	34.10	56.73
33	C9	1.00	0.73	0.54	81.291	20.96	35.24
34	C10	0.57	0.56	0.55	59.851	0.52	1.72
35	C11	0.86	0.90	0.02	87.807	-18.05	84.73
36	C12	1.00	0.94	0.01	93.910	-9.26	90.58
37	D1	0.46	0.79	0.89	76.713	-21.59	-21.11
38	D2	0.03	0.28	0.42	28.188	-8.57	-25.83
39	D3	0.94	0.96	0.77	95.223	-7.69	23.10
40	D4	0.09	0.09	0.09	7.416	-0.06	-0.51
41	D5	0.34	0.34	0.34	36.848	0.35	0.19
42	D6	0.50	0.50	0.49	53.073	0.02	0.40
43	D7	0.74	0.74	0.74	76.828	-0.10	0.82
44	D8	0.89	0.89	0.88	89.991	0.22	0.94
45	D9	0.97	0.97	0.97	97.295	-0.09	0.40
46	D10	0.85	0.85	0.84	86.335	-0.03	0.68
47	D11	1.00	0.62	0.01	74.253	30.53	77.90
48	D12	1.00	0.92	0.02	92.529	-6.61	89.53
49	E1	0.32	0.69	0.92	68.174	-15.13	-38.47
50	E2	0.54	0.78	0.92	76.983	-13.57	-24.67
51	E3	1.00	0.94	0.92	95.811	4.08	4.48
52	E4	0.99	0.99	0.99	99.292	-0.11	0.41
53	E5	0.92	0.92	0.91	92.820	-0.10	1.05
54	E6	0.80	0.80	0.79	82.136	0.06	1.09
55	E7	0.63	0.63	0.62	66.273	0.00	0.95
56	E8	0.41	0.41	0.40	43.752	-0.39	1.01
57	E9	0.14	0.14	0.14	13.606	-0.04	0.15
58	E10	0.88	0.95	0.97	94.249	-5.51	-4.14
59	E11	1.00	0.70	0.64	80.097	26.97	19.98
60	E12	1.00	0.34	0.25	61.103	63.94	49.27
61	F1	0.68	0.27	0.76	48.192	56.60	-45.99
62	F2	0.06	0.26	0.57	28.609	9.49	-49.11
63	F3	0.86	0.95	0.95	94.171	-8.24	-2.08
64	F4	0.15	0.24	0.72	30.898	28.38	-68.69
65	F5	0.28	0.77	0.28	70.547	-54.14	49.96
66	F6	0.88	0.16	0.18	49.866	68.57	45.40
67	F7	1.00	0.96	0.01	95.307	-11.66	91.55
68	F8	1.00	0.49	0.81	69.973	57.28	-18.63
69	F9	0.17	0.67	0.83	64.701	-24.72	-30.37
70	F10	0.96	0.95	0.96	95.634	1.90	-1.83
71	F11	1.00	0.69	0.76	80.101	30.98	3.99
72	F12	0.95	0.23	0.30	55.267	69.59	36.22
73	G1	0.93	0.73	0.91	81.110	25.40	-16.12
74	G2	0.58	0.51	0.87	59.045	22.78	-44.59
75	G3	1.00	0.95	0.95	96.194	4.66	0.79
76	G4	1.00	0.66	0.03	76.482	25.61	78.91
77	G5	0.35	0.46	0.87	51.293	13.89	-57.67
78	G6	1.00	0.43	0.45	65.369	56.46	26.75
79	G7	0.34	0.14	0.45	24.998	34.14	-35.52
80	G8	0.80	0.92	0.14	88.115	-26.96	80.15
81	G9	1.00	0.82	0.01	85.672	5.81	85.05
82	G10	0.93	0.98	0.95	96.830	-5.21	1.35
83	G11	0.98	0.23	0.20	56.490	70.91	51.94
84	G12	0.38	0.09	0.19	21.588	35.38	3.12
85	H1	0.75	0.22	0.49	46.706	58.68	-6.64
86	H2	0.30	0.18	0.38	24.459	22.78	-24.85
87	H3	0.93	0.95	0.97	95.291	-0.71	-3.00
88	H4	0.60	0.30	0.19	41.914	30.82	31.38
