NUMBER_OF_SETS	264
LGOROWLENGTH	12
INFO	"sRGB"
INSTRUMENTATION	"3DLUTCreator"
BEGIN_DATA_FORMAT
SampleID	SAMPLE_NAME	RGB_R	RGB_G	RGB_B	LAB_L	LAB_A	LAB_B
END_DATA_FORMAT
BEGIN_DATA
1	A1	0.27	0.15	0.19	20.033	15.97	0.87
2	A2	0.37	0.12	0.20	22.345	30.75	1.85
3	A3	0.44	0.10	0.23	25.869	39.73	2.36
4	A4	0.47	0.11	0.26	27.831	42.28	0.67
5	A5	0.66	0.47	0.53	55.497	21.17	-0.89
6	A6	0.78	0.42	0.56	57.090	40.60	-2.63
7	A7	0.89	0.37	0.62	59.266	56.77	-6.90
8	A8	0.98	0.31	0.67	61.101	70.20	-11.41
9	A9	0.91	0.85	0.85	87.691	5.57	1.11
10	A10	0.95	0.84	0.87	88.280	10.89	0.62
11	A11	0.98	0.83	0.88	88.539	14.94	-0.52
12	A12	1.00	0.83	0.89	88.606	17.69	-2.34
13	A13	0.17	0.74	0.87	70.133	-29.77	-27.73
14	A14	0.98	0.29	0.90	62.628	77.59	-42.51
15	A15	0.99	0.88	0.02	89.743	-2.48	87.65
16	A16	0.04	0.04	0.04	3.014	-0.66	-0.06
17	A17	0.82	0.12	0.10	46.048	66.15	51.42
18	A18	0.01	0.62	0.08	56.528	-54.76	53.15
19	A19	0.13	0.13	0.74	25.338	43.93	-80.25
20	A20	0.05	0.06	0.06	3.900	-0.82	-0.21
21	A21	0.06	0.06	0.07	4.531	0.10	-0.83
22	A22	0.14	0.07	0.08	8.255	9.90	2.06
23	B1	0.35	0.23	0.33	29.094	17.21	-10.30
24	B2	0.43	0.20	0.44	31.344	34.41	-24.43
25	B3	0.53	0.18	0.54	35.744	48.01	-33.31
26	B4	0.58	0.16	0.59	38.073	54.37	-37.22
27	B5	0.68	0.55	0.65	62.222	14.99	-7.66
28	B6	0.77	0.53	0.74	64.007	29.75	-17.65
29	B7	0.84	0.51	0.82	65.910	42.12	-27.06
30	B8	0.99	0.48	0.97	70.237	61.95	-40.09
31	B9	0.89	0.85	0.88	87.825	4.71	-2.03
32	B10	0.93	0.85	0.91	88.427	9.81	-4.85
33	B11	0.96	0.84	0.94	88.699	14.07	-8.31
34	B12	0.99	0.83	0.98	89.256	19.85	-13.18
35	B13	0.32	0.78	0.88	74.192	-28.00	-23.55
36	B14	1.00	0.40	0.95	67.345	71.21	-42.85
37	B15	1.00	0.92	0.02	92.068	-5.77	89.31
38	B16	0.09	0.10	0.10	8.994	-2.23	0.13
39	B17	0.89	0.21	0.15	51.663	65.97	51.29
40	B18	0.05	0.72	0.15	65.233	-60.35	56.62
41	B19	0.20	0.22	0.80	32.177	39.01	-78.57
42	B20	0.12	0.23	0.15	21.669	-14.28	8.97
43	B21	0.07	0.14	0.11	11.982	-8.85	1.96
44	B22	0.06	0.16	0.19	15.178	-8.93	-8.01
45	C1	0.13	0.12	0.21	12.761	6.62	-15.30
46	C2	0.13	0.12	0.33	14.516	15.39	-33.01
47	C3	0.14	0.13	0.46	18.034	25.01	-49.97
48	C4	0.12	0.17	0.74	26.685	39.40	-77.97
49	C5	0.54	0.50	0.59	54.835	7.62	-10.93
50	C6	0.56	0.49	0.69	55.780	14.48	-23.88
51	C7	0.58	0.49	0.79	56.925	20.77	-36.18
52	C8	0.61	0.49	0.95	59.683	31.25	-55.08
53	C9	0.87	0.86	0.88	87.485	1.99	-2.70
54	C10	0.88	0.85	0.91	87.802	4.01	-5.78
55	C11	0.89	0.85	0.94	87.932	6.22	-10.03
56	C12	0.90	0.85	0.98	88.362	8.71	-14.29
57	C13	0.46	0.81	0.90	77.739	-23.35	-20.29
58	C14	1.00	0.50	0.98	71.747	61.18	-39.43
59	C15	1.00	0.95	0.01	94.172	-9.62	90.79
60	C16	0.19	0.20	0.19	21.155	-1.43	1.64
61	C17	0.95	0.30	0.23	57.352	63.74	48.01
62	C18	0.14	0.77	0.24	69.984	-60.59	53.27
63	C19	0.29	0.31	0.85	40.299	31.23	-71.80
64	C20	0.69	0.88	0.71	84.693	-22.54	15.75
65	C21	0.07	0.51	0.10	46.962	-45.43	43.27
66	C22	0.05	0.16	0.08	13.682	-15.07	10.57
67	D1	0.23	0.27	0.36	28.923	0.53	-14.83
68	D2	0.18	0.29	0.48	30.787	2.90	-32.53
69	D3	0.14	0.30	0.59	32.851	6.94	-45.92
70	D4	0.05	0.33	0.72	37.004	10.53	-58.85
71	D5	0.57	0.58	0.65	61.834	1.26	-9.89
72	D6	0.52	0.58	0.75	61.642	1.63	-23.69
73	D7	0.49	0.59	0.82	62.093	1.88	-33.40
74	D8	0.36	0.61	0.93	63.062	-2.60	-47.80
75	D9	0.86	0.85	0.88	87.186	0.81	-2.50
76	D10	0.85	0.86	0.91	87.309	0.89	-6.42
77	D11	0.83	0.85	0.93	87.101	1.04	-10.28
78	D12	0.82	0.86	0.97	87.521	0.08	-14.75
79	D13	0.55	0.84	0.91	81.194	-20.39	-17.24
80	D14	1.00	0.59	0.99	76.020	50.92	-33.70
81	D15	1.00	0.97	0.09	95.656	-12.11	90.03
82	D16	0.32	0.32	0.31	34.811	-0.76	1.04
83	D17	0.99	0.41	0.34	63.920	56.77	40.58
84	D18	0.28	0.81	0.35	73.692	-55.47	45.90
85	D19	0.37	0.42	0.91	49.737	23.45	-65.86
86	D20	0.93	0.91	0.50	90.604	-7.77	50.44
87	D21	0.45	0.63	0.16	60.714	-29.24	52.53
